Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7
0	2	2	1	1	10	3	4	4	2	5	4	14	4	4
100	2	2	1	1	10	3	4	4	3	5	4	10	4	4
200	5	2	1	1	3	3	4	4	3	5	4	3	4	4
300	2	2	1	1	3	3	4	4	3	5	4	3	4	4
400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
500	2	2	2	1	2	3	4	4	2	2	4	2	4	4
600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
900	2	2	2	1	7	3	4	4	2	2	4	7	4	4
1000	2	2	2	1	2	3	4	4	2	2	4	2	4	4
1100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
1200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
1300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
1400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
1500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
1600	2	2	2	1	2	3	4	4	2	2	4	2	4	4
1700	3	2	3	1	2	3	4	4	2	3	4	2	4	4
1800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
1900	1	2	1	1	3	3	4	4	3	1	4	3	4	4
2000	2	2	2	1	3	3	4	4	3	2	4	3	4	4
2100	2	2	2	1	2	3	4	4	7	2	4	7	4	4
2200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
2300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
2400	1	2	1	1	2	3	4	4	2	1	4	2	4	4
2500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
2600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
2700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
2800	1	2	1	1	2	3	4	4	2	1	4	2	4	4
2900	1	2	1	1	2	3	4	4	2	1	4	2	4	4
3000	2	2	2	1	2	3	4	4	2	2	4	2	4	4
3100	1	2	1	1	2	3	4	4	2	1	4	2	4	4
3200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
3300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
3400	1	2	1	1	2	3	4	4	2	1	4	2	4	4
3500	2	2	2	1	2	3	4	4	2	2	4	2	4	4
3600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
3700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
3800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
3900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
4000	2	2	2	1	3	3	4	4	3	2	4	3	4	4
4100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
4200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
4300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
4400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
4500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
4600	2	2	2	1	2	3	4	4	2	2	4	2	4	4
4700	2	2	2	1	2	3	4	4	2	2	4	2	4	4
4800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
4900	1	2	1	1	3	3	4	4	3	1	4	3	4	4
5000	2	2	2	1	2	3	4	4	2	2	4	2	4	4
5100	1	2	1	1	2	3	4	4	2	1	4	2	4	4
5200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
5300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
5400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
5500	2	2	2	1	2	3	4	4	2	2	4	2	4	4
5600	1	2	1	1	3	3	4	4	3	1	4	3	4	4
5700	2	2	2	1	2	3	4	4	2	2	4	2	4	4
5800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
5900	2	2	2	1	2	3	4	4	2	2	4	2	4	4
6000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
6100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
6200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
6300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
6400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
6500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
6600	1	2	1	1	3	3	4	4	3	1	4	3	4	4
6700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
6800	1	2	1	1	3	3	4	4	3	1	4	3	4	4
6900	1	2	1	1	3	3	4	4	3	1	4	3	4	4
7000	1	2	1	1	2	3	4	4	2	1	4	2	4	4
7100	2	2	2	1	2	3	4	4	2	2	4	2	4	4
7200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
7300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
7400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
7500	2	2	2	1	2	3	4	4	2	2	4	2	4	4
7600	3	2	3	1	4	3	3	4	3	3	4	3	4	4
7700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
7800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
7900	2	2	2	1	2	3	4	4	2	2	4	2	4	4
8000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
8100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
8200	1	2	1	1	3	3	4	4	3	1	4	3	4	4
8300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
8400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
8500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
8600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
8700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
8800	1	2	1	1	4	3	4	4	4	1	4	4	4	4
8900	1	2	1	1	2	3	4	4	2	1	4	2	4	4
9000	2	2	2	1	3	3	4	4	3	2	4	3	4	4
9100	1	2	1	1	2	3	4	4	2	1	4	2	4	4
9200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
9300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
9400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
9500	1	2	1	1	4	3	4	4	4	1	4	4	4	4
9600	1	2	1	1	3	3	4	4	3	1	4	3	4	4
9700	2	2	1	1	3	3	4	4	3	5	4	3	4	4
9800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
9900	1	2	1	1	2	3	4	4	2	1	4	2	4	4
10000	2	2	2	1	3	3	4	4	3	2	4	3	4	4
10100	2	2	2	1	2	3	4	4	2	2	4	2	4	4
10200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
10300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
10400	1	2	1	1	2	3	4	4	2	1	4	2	4	4
10500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
10600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
10700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
10800	1	2	1	1	2	3	4	4	2	1	4	2	4	4
10900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
11000	2	2	2	1	2	3	4	4	2	2	4	2	4	4
11100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
11200	1	2	1	1	2	3	4	4	2	1	4	2	4	4
11300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
11400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
11500	2	2	2	1	7	3	4	4	3	2	4	7	4	4
11600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
11700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
11800	1	2	1	1	2	3	4	4	2	1	4	2	4	4
11900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
12000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
12100	1	2	1	1	2	3	4	4	2	1	4	2	4	4
12200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
12300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
12400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
12500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
12600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
12700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
12800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
12900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
13000	2	2	2	1	2	3	4	4	2	2	4	2	4	4
13100	2	2	2	1	2	3	4	4	2	2	4	2	4	4
13200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
13300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
13400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
13500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
13600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
13700	5	2	1	1	2	3	4	4	2	5	4	2	4	4
13800	1	2	1	1	2	3	4	4	2	1	4	2	4	4
13900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
14000	1	2	1	1	2	3	4	4	2	1	4	2	4	4
14100	5	2	1	1	2	3	4	4	2	5	4	2	4	4
14200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
14300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
14400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
14500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
14600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
14700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
14800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
14900	1	2	1	1	2	3	4	4	2	1	4	2	4	4
15000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
15100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
15200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
15300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
15400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
15500	1	2	1	1	2	3	4	4	2	1	4	2	4	4
15600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
15700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
15800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
15900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
16000	1	2	1	1	4	3	4	4	4	1	4	4	4	4
16100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
16200	1	2	1	1	3	3	4	4	3	1	4	3	4	4
16300	1	2	1	1	2	3	4	4	2	1	4	2	4	4
16400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
16500	1	2	1	1	2	3	4	4	2	1	4	2	4	4
16600	1	2	1	1	3	3	4	4	3	1	4	3	4	4
16700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
16800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
16900	2	2	2	1	2	3	4	4	2	2	4	2	4	4
17000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
17100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
17200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
17300	1	2	1	1	2	3	4	4	2	1	4	2	4	4
17400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
17500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
17600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
17700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
17800	2	2	2	1	3	3	4	4	7	2	4	7	4	4
17900	1	2	1	1	3	3	4	4	3	1	4	3	4	4
18000	2	2	2	1	3	3	4	4	3	2	4	3	4	4
18100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
18200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
18300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
18400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
18500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
18600	1	2	1	1	3	3	4	4	3	1	4	3	4	4
18700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
18800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
18900	2	2	2	1	2	3	4	4	2	2	4	2	4	4
19000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
19100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
19200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
19300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
19400	5	2	1	1	3	3	4	4	3	5	4	3	4	4
19500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
19600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
19700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
19800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
19900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
20000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
20100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
20200	1	2	1	1	3	3	4	4	3	1	4	3	4	4
20300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
20400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
20500	1	2	1	1	2	3	4	4	2	1	4	2	4	4
20600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
20700	2	2	2	1	2	3	4	4	2	2	4	2	4	4
20800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
20900	1	2	1	1	2	3	4	4	2	1	4	2	4	4
21000	1	2	1	1	2	3	4	4	2	1	4	2	4	4
21100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
21200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
21300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
21400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
21500	1	2	1	1	4	3	4	4	4	1	4	4	4	4
21600	1	2	1	1	2	3	4	4	2	1	4	2	4	4
21700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
21800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
21900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
22000	1	2	1	1	2	3	4	4	2	1	4	2	4	4
22100	1	2	1	1	4	3	4	4	4	1	4	4	4	4
22200	2	2	2	1	2	3	4	4	2	2	4	2	4	4
22300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
22400	1	2	1	1	2	3	4	4	2	1	4	2	4	4
22500	2	2	2	1	2	3	4	4	2	2	4	2	4	4
22600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
22700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
22800	1	2	1	1	3	3	4	4	3	1	4	3	4	4
